name,price
教孩子学编程(Python语言版),45.40
图解算法——使用Python,39.70
跟老齐学Python：轻松入门,52.50
Python机器学习算法,61.40
基于ArcGIS的Python编程秘笈（第2版）,54.50
教孩子学编程+趣学Python+父与子的编程之旅 全3册 教孩子编程的图书 python,130.90
【R】Selenium自动化测试 基于 Python 语言 web UI测试入门书籍selen,38.85
Python机器学习经典实例,46.50
教孩子学编程+趣学Python+父与子的编程之旅 全3册 教孩子编程的图书 python,130.90
数据科学导论：Python语言实现（原书第2版）,48.70
包邮 Python深度学习 Keras之父 深度学习技术书籍,85.80
现货  Python编程快速上手 让繁琐工作自动化 Python入门,55.00
Python机器学习基础教程,64.80
"Python语言及其应用 [美] 卢布诺维克(Bill Lubanovic),丁嘉瑞, 9",45.82
Python网络爬虫从入门到实践,36.50
包邮Python机器学习 5个数据科学家案例解析+Python数据科学手册书籍,118.80
Python基础教程(第3版) [挪]芒努斯·利·海特兰德(Magnus Lie Hetl,57.42
Python编程导论 第2版,54.40
Head First Python(中文版)第二版 python从入门到实践 python编程,76.00
零基础入门学习Python 程序设计 零基础学编程核心学习教程随书附送96集免费视频教程,34.80
Python 语言构建机器学习系统 第2版（影印版）,55.30
现货2本 Python神经网络编程+精通数据科学：从线性回归到深度学习 深度学习人工智能,126.00
正版 Python 3网络爬虫开发实战 崔庆才Scrapy数据分析处理手册 python3网络爬虫,69.00
Python与机器学习实战:决策树、集成学习、支持向量机与神经网络算法详解及编程实现 何宇,40.02
Python可以这样学,55.20
Python数据分析 第2版（影印版）,76.60
Python学习手册 第4版 Python基础教程运维实践 核心编程基础教程网络爬虫入门书籍pyth,79.10
零基础学Python（图文版）,57.80
Effective Python  9787111523550  机械工业出版社,45.14
Python网络编程攻略 (英) M. O. Faruque Sarker著 人民邮电出版,36.40
Python 3网络爬虫开发实战+Python数据分析 基于Plotly的动态可视化绘图,133.50
父与子的编程之旅 与小卡特一起学Python 教孩子编程的图书 python编程入门教程,46.00
Python绝技：运用Python成为顶级数据工程师,70.30
Python程序设计,66.40
python从菜鸟到高手 python编程 从入门到实践精通 python学习手册pyth,63.40
Python金融数据分析,53.60
现货包邮Python深度学习 deep learning with python中文版人工智能机器学,89.80
Python测试驱动开发（影印版 英文版）,72.30
跟老齐学Python：Django实战,51.10
跟老齐学Python 轻松入门 齐伟Python入门书籍 python核心编程技术python语言编,43.70
Python学习从入门到实践+Python机器学习及实践从零开始通往Kaggle竞赛之路,65.00
Python设计模式 第2版,30.70
Python核心编程 第3版(第3版),76.20
Python游戏编程快速上手 第4版,54.40
Python与量化投资,72.80
Python3网络爬虫开发实战崔庆才 Scrapy数据分析处理手册数据抓取指南 计算机编程语言 默认47,62.00
Python数据分析：基于Plotly的动态可视化绘图,66.20
Python编程快速上手 让繁琐工作自动化  Python3编程从入门到实践 编程语言与程序设计书籍,48.00
Python语言程序设计基础(第2版),32.20
Python数据处理（影印版 英文版）,78.00
Python3面向对象编程(第2版),74.30
包邮树莓派机器人实战秘笈 第3版+树莓派开发实战+树莓派+传感器+Python树莓派编程,191.80
Python高手之路,36.30
Python从入门到项目实践 全彩版 明日科技 自学Python软件开发从入门到精通 网格爬虫,54.80
教孩子学编程+父与子的编程之旅:与小卡特一起学PythonPython语言版python y,95.60
机器人系统设计与制作：Python语言实现+ROS机器人程序设计（原书第2版）2本,96.00
机器人Python极客编程入门与实战,49.40
Python数据分析：基于Plotly的动态可视化绘图 孙洋洋  等 电子工业出版社,62.80
包邮 Python从菜鸟到高手+Python编程 从入门到实践 2本 python编程书,157.60
Python网络爬虫实例教程 视频讲解版,36.90
趣学Python编程 Jason Briggs 编程语言,35.10
Python与量化投资,82.20
现货  赠教学视频2500分钟 python从小白到大牛 300个示例源代码,66.80
包邮Python从菜鸟到高手+零基础入门学习Python Python3零基础入门自学教程书籍,132.80
区域包邮Selenium2自动化测试实战:基于Python语言+精通自动化测试框架设计,88.20
Python全栈开发实践入门 python全栈开发教程书籍 python全栈开发工程师前端后端开发测,69.00
Python从入门到精通  python编程从入门到实践书籍零基础入门学习从入门到精通python语,79.80
Python袖珍指南(第5版),28.50
机械工业：Python程序设计（原书第2版）,86.00
Python计算机视觉编程 核心编程设计开发基础教程 动态脚本语言教材 python高手之,49.60
包邮 Python 3网络爬虫开发实战+Python数据分析入门+Python 3爬虫、数据清洗3本,140.60
Python机器学习实践指南,53.10
深度学习入门 基于Python的理论与实现,48.20
零起点Python大数据与量化交易,69.30
Python3网络爬虫开发实战 崔庆才Scrapy数据分析处理手册 数据抓取指南,75.00
包邮 玩转Django 2.0 黄永祥 +Python新手使用Django架站的16堂课书籍,118.60
包邮自然语言处理理论与实战+Python自然语言处理实战核心技术与算法 自然语言文本提取书籍,109.80
自学Python 编程基础、科学计算及数据分析,62.40
O'Reilly：Python学习手册（第4版）,95.20
父与子的编程之旅 与小卡特一起学Python 中小学生编程 python编程入门教程 Python语,58.20
包邮 从零开始学Python数据分析与挖掘书籍 Python 3版本作为数据分析与挖掘实战的应用工具,57.30
Python并行编程参考手册（影印版）,53.60
教孩子学编程Python语言版 少儿趣味编程 少儿游戏编程 青少年兴趣编程 Python,26.80
机器学习实战 peter harrington著 python机器概念书籍 计算机电脑程序,48.30
Python文本分析 计算机与互联网 书籍|7836736,55.30
OpenCV 3计算机视觉 Python语言实现 原书第2版 计算机教材教程书籍 人脸检测与识别 图,33.10
Head First Python(中文版第2版),89.69
Python网络爬虫实例教程（视频讲解版）,40.70
Python参考手册+数据抓取技术与实战+开发实战+Python Qt GUI快速编程,257.60
Python高效开发实战+Python Web开发实战+Flask Web开发-基于Pyt,189.00
(正版特价)量化交易之路：用Python做股票量化分析 计算机与互联网 …|230782,44.50
正版 像计算机科学家一样思考Python 第2版 [美] 艾伦 B. 唐尼(Allen B,39.60
Python自然语言处理 [美]Steven Bird Ewan Klein Edward,51.62
Python编程从入门到实践 python3.0 绝技核心编程基础视频教程网络爬虫,76.70
图灵教育 包邮 Python基础教程 第3版 Python入门版,72.20
Python数据科学入门,38.70
Python机器学习入门（影印版 英文版）,63.00
(正版特价)精通Python网络爬虫：核心技术、框架与项目实战 计算机与…|230066,27.60
Python数据可视化编程实战 *2版 数据分析处理教程 数据科学 matplotlib,50.40
